Name,PredDNN,OldRating
Scurvy Dice,6.002487,5.51973
DETHRONED: The Real-Time Combat Card Game,6.6743584,5.52492
KIPP X,6.3079967,5.55216
Tower Up,6.52637,5.5975
Cookie Fu,6.401071,5.5069
Rubik's Illusion,6.1109695,5.51709
King Toad,6.024947,5.47563
Bloody 110,7.128518,5.55084
Cartooner: The Fast & Furious Game of Drawing Comics,6.056658,5.52354
Ogre Miniatures,7.004831,5.59651
"The First Afghan War, 1839-42",6.910565,5.52019
Slasher: The Final Cut,6.115776,5.50408
Imperial Stars II,6.5581856,5.5905
Suleiman the Magnificent,6.704192,5.53945
Too Many Cooks,6.1014605,5.50194
Samurai Vassal,6.2506685,5.5259
Absolute Victory: World Conflict 1939-1945,7.323199,5.58274
Bamboozle,6.0900993,5.49023
Hero: Tales of the Tomes,6.788625,5.53662
Dogs Alone,5.9851356,5.54263
Khyber Rifles,7.296903,5.49492
"Tahiti:  Clan Warfare, Polynesia 750 AD",6.758295,5.51166
Greedy Dragons,6.4934654,5.5237
Final War,6.162328,5.50975
Austin Powers CCG,6.102749,5.46347
Forgotten Axis: The Romanian Campaign,6.294098,5.49636
Autumn of Glory,6.023562,5.52672
Waterloo: The Last Great Battle,6.571683,5.51472
Götterdämmerung,6.730112,5.52684
Paul Koenig's The Bulge: 6th Panzer Army,6.322005,5.54327
Super Race,6.0376787,5.5127
Drag Strip!,6.0326147,5.46052
City States of Arklyrell,6.5243196,5.49782
Empires at War,6.9384313,5.50167
NFL Game Day,7.0182843,5.49495
Affinity,6.2648125,5.53632
KAWA: A Game About Flow,6.9974794,5.50739
Tumbleweed,6.9690914,5.56453
Nowheresville: Bandit Paradise,6.4786806,5.51527
Get Reelz,6.014637,5.50113
Hexx & Hopp,6.179122,5.52797
Crisis: Korea 1995,7.063646,5.55413
Backpacks & Blisters (Second Edition),6.2878695,5.55211
Squeeky,5.9751616,5.49668
Dumstrut,6.146306,5.5038
To Take Washington: Jubal Early's Summer 1864 Campaign,7.4128056,5.57647
Groovy Pips,6.2656984,5.50154
Bahama Taxi,6.060362,5.48136
"I Say, Holmes! (Second Edition)",6.2663245,5.49822
KAPOW!,6.337731,5.60298
Taco Cat Goat Cheese Pizza: Demo deck,5.976406,5.53013
Bonaparte in the Quadrilateral,6.177716,5.55696
Chai Garam,6.9065404,5.56954
Automata NOIR,6.345867,5.55384
VerTIPPT nochmal!,6.0373664,5.5114
Tell Me More,6.6341705,5.51636
Speed,6.134797,5.49847
Hollywood Game Night Party Game,6.0422487,5.51596
Drawing Dead,6.938919,5.51541
Deterrence 2X62,6.3283396,5.53816
Ninja Galaxy,6.0338697,5.42263
En tu casa o donde sea,6.049924,5.50496
Hunters of the Lost Creatures,6.097556,5.5619
"The Cossacks Are Coming!: The Tannenberg Campaign August and September, 1914 – 2nd Edition",6.8580265,5.52217
Legend Academy,6.7803392,5.46705
Point Blank: V is for Victory,6.463413,5.5661
1806: Rossbach Avenged,6.5531054,5.55432
Nagashino 1575 & Shizugatake 1583,7.270686,5.53109
Raben schubsen,6.033145,5.50599
Something Wild! Marvel Infinity Saga: Iron Man,6.0049915,5.5101
Das Gold der Maya,6.342981,5.48755
Secret Night at Davis Manor,6.5034223,5.59014
Abra Kazam!,6.074871,5.5074
OTLO Stones,6.1869535,5.51903
Blank Marry Kill,6.063133,5.50688
MooT,6.048892,5.51276
Naova,6.170242,5.49566
Raiders of the Lost Tomb,6.3524504,5.46653
Veletas,6.217916,5.53971
Ganesha,6.156744,5.50537
Jerusalem! Tactical Game of the 1948 War,7.1700153,5.55835
Mabula,6.165596,5.52253
Super Slopes,6.7463408,5.53112
Tartapies,6.1860905,5.51808
Beat the Experts,6.0864778,5.48158
Swoggle,6.14423,5.50202
Happy Party,6.0008173,5.5032
Disposable Heroes and Coffin For Seven Brothers: Infantry and Vehicle Small Unit Skirmish Wargaming in WWII,6.3870316,5.55272
Booze Barons,6.178156,5.50458
In A Bind Jr,5.9992323,5.52752
Got 'Em!,6.0022707,5.5233
Deadly Premonition: The Board Game,6.081563,5.50891
APBA American Saddle Racing,6.455307,5.52611
"Knock, Knock! Dungeon!",6.5989685,5.52846
Black Stories: Epic Fails Edition,6.024399,5.51565
Hold the Line:  Frederick's War,7.244774,5.59091
Electronic Scattergories Platinum Edition,5.991763,5.5029
Ballons,5.985291,5.49101
Winds of Numa Sera,6.0738463,5.52034
Worlds of Heroes & Tyrants,6.2659273,5.46318
Zombie World,6.1866236,5.53336
Hollywood Racers,6.129544,5.51007
Monopoly: Cars 2 Edition,5.970787,5.46808
Ingenious Extreme,6.7221284,5.53452
"Murder, She Wrote",6.0528936,5.52759
Trusis,6.3259897,5.50065
Dungeon Breakout,6.2288294,5.48815
Marvel Dice Masters: X-Men Forever Campaign Box,6.3896465,5.54267
Attacktix  Battle Figure Game: Marvel,6.349283,5.51814
Blasphemy,6.126746,5.49561
Randomise,6.163233,5.50623
Gutterhead,6.045668,5.51003
Suspect Game,6.61646,5.57552
The Red Dragon Inn 8: Pub Crawl,6.104045,5.61132
Doctor Who: The Card Game – Classic Doctor Edition,6.150632,5.51036
Card Caper,6.0336027,5.48457
Mech Command RTS,6.7668576,5.51987
5ive: King's Court,6.2653255,5.5149
World at War: The Untold Stories,6.1442637,5.63063
Manhattan TraffIQ,6.6886926,5.51753
Golf the Perfect Game,6.605563,5.50509
Drôles de Zèbres,6.2093782,5.53735
Kalle Kanalratte,6.0375013,5.5
Hang Four,5.9773183,5.49623
Turbo,6.5309663,5.47294
French Foreign Legion,7.0924087,5.56049
Waterloo 1815: Napoleon's Last Battle,6.6729345,5.55278
Towers in Time,6.341748,5.47237
Somnicum,6.192708,5.5159
Slap It!,6.058732,5.50502
DC HeroClix: Batman (Alpha),6.201125,5.51492
Grimslingers: Duels,6.1669254,5.49813
Horrific,6.1180234,5.50425
Tilting at Windmills,6.2041225,5.51309
Olympic & Coronet,6.46391,5.53896
Fetch,6.060738,5.49344
Trapture,6.099024,5.50885
Quando,6.120968,5.56554
Blitzed!,6.175284,5.49129
Die Erbtante,6.3404503,5.48135
My First Adventure: Journey to Ochre Land,6.2584267,5.52844
MeM,6.0532813,5.52844
Fish & Chips,6.0747967,5.51618
Step by Step,6.634283,5.50244
Das Versteck des Goldgräbers,6.801361,5.52417
Scrabble Crossword Cubes Game,5.992112,5.5084
Zone Wars,7.3113613,5.5513
"Armati: Rules and Lists for Ancient, Medieval & Renaissance Wargaming",6.813608,5.52039
Whiskey Business!,6.0888505,5.51563
Doubletrack,6.0490746,5.48716
Emperor's First Battles,6.6471233,5.50282
Baba Yaga,6.1185746,5.51143
Modern Land Battles: Target Acquired,6.3239503,5.54373
Nutty Squirrels of the Oakwood Forest,6.5383806,5.52296
Pokémon Master Trainer II,5.9757924,5.52463
Cubeo,6.229725,5.53888
Star Fleet Battles (Commander's Edition),7.344943,5.58716
Doxie Dash,6.4730687,5.52579
New World Colony,6.1397815,5.5157
Gooey Louie,6.1853657,5.43092
Tribes,6.8324623,5.5416
Clash of Empires: The Battle for France 1914,7.083063,5.5398
Cultistorm,6.838066,5.54982
World of Draghan: Sneaky Ol' Dragons,6.623144,5.56831
Miskatonic Madness,6.2330704,5.50267
Fantastic Gymnastics,6.0666423,5.49044
Back to Iraq,6.4923835,5.48787
Cherkassy Pocket: Encirclement at Korsun,6.2669144,5.51842
Gangsta!,6.098853,5.5175
Decision: Iraq,6.7614594,5.51842
Disney Shadowed Kingdom,6.6893764,5.45793
Railways,6.8360386,5.50879
Listen Up!,6.258546,5.50049
Hot Potato,5.992464,5.42315
Rattaneer,6.4393663,5.52609
Artifact,6.63216,5.51094
Night Class,6.2048554,5.51422
Morgan's Revenge,6.0019836,5.48235
Converge: Sparks of Hope,6.182969,5.53538
Schachen,6.1482754,5.54907
Plateau,6.063162,5.55872
Flames of War: Firestorm Campaign – Operation Bagration,6.357259,5.51868
Emperor of China,6.3119135,5.52286
Think Alike,6.052541,5.49636
Indiana Jones Akator Temple Race Game,6.019164,5.49855
Watch Out! That's a Dracula!,6.612483,5.52444
Strat-O-Matic Baseball Express,6.598398,5.52358
RallyRas,6.0176687,5.51562
