Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
The Prestel New York Architecture Game,6.235665388951107,6.193499534999995,6.010674,6.315658847285845,5.51315,6.188874442809237
CLUE: Dungeons & Dragons,6.431735172072371,6.770343820000005,6.109612,6.486851773117535,5.50837,6.449635691297479
Quits,6.297319437355867,6.176391996825403,6.140992,5.731768006472755,5.516,6.086617860163506
The Great Patriotic War: Nazi Germany vs. the Soviet Union,6.938318489822166,6.718065758777786,6.515046000000001,6.938556838481123,5.51435,6.777496771770269
CubiCup,6.3987923688156725,6.372217830769217,5.666034000000001,6.244742593016214,5.51006,6.1704466981502755
Wild Kratts Race Around the World,5.658713368523317,6.337183189523807,6.239914000000001,6.24116767266613,5.45384,6.119244557678314
"Mine, All Mine!",6.248497933512941,6.7500471095238055,6.199908000000001,6.17668707149004,5.51266,6.343785028631697
O Jogo da Enciclopédia,5.9614018256467505,6.152111066190474,6.501828000000001,6.39545637739608,5.50846,6.252699317308326
Tough Calls: Dystopia,6.600338604825572,6.74295572,6.092992000000001,6.871944613789033,5.58683,6.577057734653652
Detective Rummy,5.959037323387667,6.538555360000001,6.313854,6.4582360112637245,5.49175,6.317420673662848
Prince of Chaos: Battle for Tae Orn,7.308349630620366,7.4686877200000055,5.984018000000001,6.535044899032603,5.52258,6.824025062413244
Puerto Diablo,6.813206406801252,6.777273864285726,6.3619900000000005,6.781452969533573,5.51684,6.683480810155139
I Spy Memory Game,6.008730457334416,6.164060300000003,5.982298,6.187528799728008,5.47624,6.085654389265606
The Secret Flower,5.837162879913078,6.538702980000003,6.208418,6.737447601226502,5.5231,6.330432865284895
Legions of Steel,7.238273216536739,6.794579749999998,6.660054000000001,6.856842085089807,5.58049,6.887437262906636
Science Ninjas: Valence,6.501327857382151,6.772438355689875,6.624034,6.40489715650471,5.52456,6.5756743423941835
Magic: The Gathering – Duel Decks: Elspeth vs. Kiora,6.8112797934352765,7.062000626993471,6.20174,6.387514384306948,5.53324,6.615633701183924
Yōkai Quest,6.495935535946824,6.720201159999994,6.23948,6.679556313447679,5.51275,6.533793252348625
Garbage,6.079733953094164,5.458950679999997,6.353630000000001,6.320262378605316,5.46847,6.053144252924868
Summit,6.694458328459643,6.305763140000001,6.343632,6.6989857798897425,5.51176,6.510709812087346
Farsight,7.2792469249848555,7.431883840000004,6.140248,6.751854413255279,5.51692,6.900808294560035
Electro,5.931496223621401,5.456354380000004,5.7087319999999995,6.349718309977034,5.46523,5.8615752283996105
Tatort Meer Fall 1: Die Vogelinsel,6.868475075553435,7.180658020000001,6.337206,7.069775780293402,5.55771,6.86402871896171
Gigi Gnomo,6.055946258863835,6.299674053846161,6.212684,5.955186563205008,5.51269,6.13087271897875
Odd Shop,5.91340370933755,6.451045940000007,6.072704,6.2821613868304125,5.52307,6.179828759041993
Widower's Wood: An Iron Kingdoms Adventure Board Game,7.0866863413711885,7.639656179999999,6.491646,6.761321600099888,5.56488,6.994827530367768
Noggin,6.27497431725575,6.4651922599999985,6.471052,6.41317056548245,5.5373,6.40609728568455
Paul Koenig's Market Garden: Nijmegen Bridge,6.582409933606597,6.65796693717949,6.443486,6.858373948750699,5.53272,6.6355592048841965
Mission Control: Critical Orbit,6.762279804883056,7.1343978800000025,6.634555999999999,6.588365078202976,5.57486,6.779899690771509
The Baton Races of Yaz,6.2961568984159495,6.197080231111115,6.025035999999999,5.895790251697752,5.49944,6.1035158453062035
Snarf Quest,6.341545645189019,6.397767823194438,6.282482,6.2292550447023105,5.49397,6.312762628271442
Brexit: The Real Deal,6.279171492164989,6.404399540000006,6.178416,6.365701490672259,5.46921,6.306922130709314
Doktor Igel,5.977956498690981,6.008497454523792,6.373738,6.341613257178108,5.5034,6.17545130259822
Nieuport 1600,6.700580504414109,6.797715917080137,6.412483999999999,6.989555840153024,5.53157,6.725084065411817
Kingdom Hearts TCG,6.193687527450006,6.174755408481058,6.663759999999999,6.574781900081062,5.50338,6.401746209003031
Deluxe Camping,6.265491565216913,6.380428069523801,6.152858,6.0379699161292635,5.53077,6.209186887717495
